Engine RPM(rpm),Horsepower (At the wheels)(hp),Miles Per Gallon(Instant)(mpg),Litres Per 100 Kilometer(Instant)(l/100km)
1962.75,9.73,19.2,14.72
1943.25,-,23.16,12.2
1961.5,-,22.44,12.59
1975.25,9.88,21.48,13.15
1978.0,9.88,21.22,13.31
1984.5,9.88,21.55,13.11
1982.0,-,21.46,13.17
1981.5,-,21.38,13.21
1972.75,-,21.57,13.1
1970.5,-,19.88,14.21
1973.75,-,17.43,16.21
1973.0,-,17.01,16.61
1963.25,-,19.31,14.63
1954.5,-,19.81,14.26
1949.75,-,19.96,14.15
1943.75,-,20.37,13.86
1968.5,10.49,11.82,23.9
1973.25,10.49,13.64,20.72
1969.0,10.49,17.65,16
1966.5,10.49,19.18,14.73
1968.75,-,19.11,14.79
1978.25,-,12.87,21.96
1978.75,-,15.07,18.75
1991.0,-,10.63,26.58
1998.25,9.97,12.1,23.34
2006.25,9.97,15.92,17.74
2009.5,9.97,17.34,16.29
2017.25,9.03,16.12,17.52
2016.0,9.03,15.16,18.64
1988.75,9.03,16.91,16.7
1954.0,-,16.78,16.84
1942.0,-,18.72,15.09
1935.75,-,17.85,15.82
1929.75,-,19.22,14.69
1931.75,-,17.67,15.99
1936.25,-,17.29,16.34
1943.25,8.74,15.52,18.2
1949.25,8.74,15.57,18.14
1952.5,8.74,16.93,16.69
1945.75,-,19.55,14.45
1945.0,-,19.81,14.26
1939.75,-,19.57,14.44
1938.0,-,19.49,14.49
1928.75,-,19.28,14.65
1923.0,-,19.28,14.65
1913.75,-,18.97,14.89
1909.75,-,18.37,15.38
1902.5,-,17.99,15.7
1896.75,-,18.31,15.43
1903.25,-,14.34,19.7
1901.5,-,16.76,16.86
1898.75,-,18.5,15.27
1898.25,-,17.26,16.36
1910.0,-,13.77,20.51
1905.75,-,14.24,19.84
1912.75,6.31,15.74,17.94
1908.75,6.31,17.99,15.7
1905.5,6.31,19.3,14.63
1899.5,-,19.38,14.58
1894.5,-,19.22,14.7
1922.0,8.59,16.45,17.17
1928.75,8.59,17.46,16.18
1937.25,8.59,17.99,15.71
1942.75,-,18.53,15.25
1951.0,8.69,18.17,15.55
1954.75,8.69,18.32,15.42
1964.25,10.51,18.36,15.39
1963.75,10.51,18.39,15.36
1968.0,10.51,19.11,14.79
1968.75,-,18.96,14.9
1969.75,-,19.21,14.7
1986.25,10,16.46,17.16
1986.5,10,15.36,18.39
2020.75,10,8.87,31.86
2024.75,10.13,11.08,25.51
1972.75,10.13,19.91,14.19
1947.5,10.13,24.33,11.61
1943.5,-,21.39,13.2
1943.0,-,17.18,16.44
1943.5,-,17.25,16.37
1933.5,-,18.82,15.01
1932.75,-,15.93,17.73
1930.75,-,18.26,15.47
1931.0,-,18.94,14.92
1958.25,-,20.82,13.57
1909.25,-,17.64,16.02
1912.75,9.07,15.25,18.53
1915.75,9.07,17.21,16.42
1911.0,9.07,18.39,15.36
1906.5,-,19.42,14.55
1896.0,-,21.2,13.32
1903.25,-,11.56,24.43
1910.5,-,16.21,17.43
1925.5,9.11,10.85,26.03
1934.0,9.11,12.67,22.29
1944.25,8.71,13.31,21.23
1948.0,8.71,17.6,16.05
1952.75,8.71,18.25,15.48
1948.0,-,16.75,16.87
1941.25,-,21.78,12.97
1922.5,-,19.6,14.41
1932.75,-,13.03,21.68
1938.25,9.19,10.42,27.1
1949.25,9.19,9.59,29.46
1927.0,9.19,15.28,18.49
1917.5,9.19,15.46,18.27
1881.25,-,16.11,17.53
1854.25,-,10.53,26.82
1863.75,8.4,8.96,31.54
1844.5,8.4,14.61,19.33
1835.75,8.4,13.01,21.71
1831.5,-,11.27,25.06
1833.75,-,10.34,27.33
1826.5,-,12.94,21.84
1815.25,-,17.23,16.4
1808.25,-,18.25,15.48
1803.75,-,19.24,14.68
1821.25,8.6,9.97,28.33
1825.5,8.6,16.39,17.24
1827.25,8.6,18.35,15.39
1808.0,-,22.74,12.42
1818.25,-,20.78,13.59
1818.5,-,19.3,14.64
1820.5,8.63,18.45,15.31
1820.75,8.63,21.81,12.95
1833.75,8.63,22.52,12.55
1823.0,-,21.68,13.03
1813.75,-,24.5,11.53
1798.5,-,23.1,12.23
1801.5,-,24.33,11.61
1799.5,-,23.78,11.88
1790.0,-,23.53,12
1789.0,-,23.34,12.1
1779.25,-,22.78,12.4
1766.75,-,22.49,12.56
1751.25,-,21.3,13.26
1747.5,-,21.33,13.25
1737.25,-,20.81,13.57
1736.0,-,17.69,15.97
1736.25,9.72,14.96,18.88
1741.25,9.72,17.08,16.54
1745.75,9.72,18.82,15.01
1750.5,-,15.27,18.5
1766.75,-,16.31,17.32
1776.0,7.95,17.83,15.84
1765.75,7.95,18.99,14.88
1781.75,7.95,18.51,15.26
1786.75,-,18.63,15.16
1789.75,-,18.57,15.22
1793.0,8.06,18.71,15.1
1797.75,8.06,18.48,15.29
1806.75,8.06,17.24,16.38
1822.0,8.14,15.89,17.77
1825.5,8.14,17.9,15.79
1828.25,8.14,18.13,15.58
1830.0,8.14,17.83,15.85
1829.0,-,17.46,16.18
1834.5,-,17.27,16.36
1832.5,-,15.67,18.02
1805.75,-,18.1,15.61
1749.25,-,14.12,20.01
1729.0,-,13.23,21.35
1738.5,7.82,12.02,23.5
1768.0,7.82,9.84,28.69
1788.75,7.94,9.1,31.03
1825.75,9.01,10.08,28.02
1844.0,8.6,12.67,22.29
1849.25,9.18,12.83,22.02
1865.0,9.18,14.62,19.32
1883.75,8.85,11.85,23.84
1891.25,8.85,12.36,22.85
1909.25,8.53,14.74,19.16
1917.75,8.53,15.71,17.98
1918.25,9.63,17.94,15.75
1920.5,9.63,18.3,15.44
1916.5,9.63,17.7,15.96
1933.5,-,10.22,27.63
1937.0,-,10.26,27.53
1927.75,-,15.21,18.57
1929.25,-,18.04,15.66
1931.5,-,18.06,15.64
1932.5,-,17.19,16.43
1935.25,-,16.78,16.83
1941.5,-,16.62,17
1943.25,8.76,17.43,16.21
1917.75,8.76,16.39,17.23
1912.5,8.76,22.93,12.32
1909.25,-,19.52,14.47
1907.25,-,18.69,15.11
1906.0,-,18.1,15.61
1905.5,-,18.63,15.16
1903.5,-,18.24,15.49
1905.75,-,18.74,15.07
1910.0,-,18.56,15.22
1909.25,-,18.66,15.14
1911.5,8.64,18.48,15.29
1906.75,8.64,19.87,14.21
1894.25,8.64,20.26,13.95
1902.75,-,18.16,15.55
1908.5,-,15.97,17.69
1909.5,-,16.51,17.11
1912.25,-,17.08,16.54
1914.25,8.62,17.41,16.22
1919.5,8.62,16.83,16.79
1946.5,9.17,11.02,25.63
1909.75,9.17,16.62,17
1908.0,9.17,12.42,22.74
1912.75,-,14.62,19.32
1918.0,10.21,13.14,21.5
1935.0,10.21,11.82,23.91
1938.0,10.21,14.06,20.1
1914.5,8.44,13.86,20.38
1897.75,8.44,22.79,12.4
1884.25,8.44,18.4,15.35
1877.0,-,18.91,14.94
1861.5,-,18.97,14.89
1861.5,-,18.44,15.32
1861.0,-,18.51,15.26
1831.5,-,20.5,13.78
1826.0,-,21.27,13.28
1827.75,-,22.16,12.75
1823.75,-,21.89,12.91
1807.0,-,21.63,13.06
1817.75,-,21.32,13.25
1816.0,-,21.02,13.44
1821.75,-,20.71,13.64
1826.25,-,19.87,14.22
1831.25,-,20.64,13.69
1846.25,-,19.36,14.59
1872.75,9.26,12.95,21.82
1883.75,9.97,13.09,21.58
1886.5,9.97,18.24,15.49
1879.75,9.97,20.87,13.54
1874.5,-,21.13,13.37
1871.75,-,18.24,15.49
1868.25,-,17.47,16.17
1866.0,-,17.33,16.3
1860.5,-,16.93,16.68
1872.75,-,11.43,24.71
1885.25,8.37,13.26,21.3
1886.25,8.51,16.45,17.17
1885.0,8.51,16.77,16.84
1832.25,8.51,20.69,13.66
1840.25,-,23.67,11.94
1815.5,-,16.74,16.88
1822.0,9.14,11.51,24.55
1851.5,8.28,13.18,21.43
1872.75,8.87,16.16,17.48
1894.5,8.87,17.24,16.38
1906.25,9.19,17.08,16.54
1916.0,8.05,17.32,16.31
1937.0,8.14,17.16,16.46
1927.25,8.14,17.85,15.83
1927.75,8.14,22.73,12.43
1919.0,-,22.33,12.65
1914.25,-,21.46,13.16
1912.75,-,20.93,13.49
1926.0,9.08,16.81,16.8
1936.0,9.08,15.19,18.6
1944.0,9.08,15.99,17.67
1953.0,9.08,16.66,16.95
1963.25,8.15,16.15,17.5
1974.75,8.15,15.94,17.72
1969.75,8.15,16.19,17.45
1986.75,8.15,16.14,17.51
1991.5,9.96,15.93,17.74
1996.75,9.96,16.12,17.53
1992.5,9.96,16.34,17.29
1958.25,-,12.35,22.88
1956.75,-,15.28,18.49
1948.0,-,18.02,15.68
1954.0,-,11.53,24.5
1939.25,-,14.77,19.12
1928.25,-,17.29,16.34
1929.0,-,18.58,15.2
1915.5,-,17.8,15.87
1910.25,-,18.73,15.08
1911.5,-,13.75,20.54
1901.75,-,16.76,16.86
1895.75,-,20.35,13.88
1894.75,-,20.43,13.83
1874.5,-,20.06,14.08
1887.75,-,19.21,14.71
1889.5,10.07,18.32,15.42
1894.75,10.07,18.2,15.52
1917.0,10.07,18.61,15.18
1900.5,-,20.39,13.85
1908.25,-,18.25,15.47
1926.0,9.08,16.96,16.65
1935.5,9.08,17.7,15.96
1935.25,9.75,17.95,15.73
1949.0,9.75,17.96,15.72
1963.0,9.75,17.64,16.01
1971.5,8.84,17.57,16.08
1969.25,8.84,18.28,15.45
1972.0,8.84,18.79,15.03
1971.25,-,18.56,15.22
1973.25,-,17.88,15.8
1974.75,-,17.81,15.86
1973.0,-,17.98,15.71
1974.5,-,17.65,16
1973.25,-,18.0,15.7
1977.5,-,17.48,16.16
1977.75,-,17.9,15.78
1983.25,-,17.93,15.76
1982.75,-,17.34,16.29
2000.5,9.96,15.63,18.07
1947.75,9.96,14.74,19.17
1973.5,9.96,21.81,12.95
1953.5,-,22.21,12.72
1952.0,-,17.98,15.71
1948.75,-,14.81,19.07
1954.25,-,16.38,17.25
1957.0,-,16.93,16.69
1928.75,-,19.12,14.77
1932.0,-,20.62,13.7
1936.0,-,15.96,17.69
1933.75,-,14.52,19.46
1918.0,-,21.05,13.42
1936.25,-,10.53,26.82
1951.0,9.24,12.38,22.81
1968.25,9.25,12.42,22.75
1969.5,9.25,16.96,16.65
1976.25,9.25,18.4,15.35
1974.0,-,18.11,15.59
2002.25,10.61,9.08,31.12
1990.25,10.61,15.32,18.44
1985.75,10.61,18.53,15.24
1972.25,10.61,19.45,14.53
1951.75,-,19.05,14.83
1937.5,-,18.39,15.36
1926.75,-,18.2,15.53
1912.75,-,17.5,16.14
1904.25,-,11.79,23.97
1862.25,-,11.04,25.59
1857.25,-,19.58,14.43
1852.75,-,17.74,15.93
1845.0,-,17.14,16.48
1823.5,-,10.61,26.63
1841.25,-,9.43,29.97
1857.5,9.82,12.45,22.68
1875.0,8.85,13.43,21.04
1885.0,8.5,13.6,20.76
1855.25,8.5,16.65,16.96
1870.0,8.5,17.53,16.11
1841.0,8.5,21.5,13.14
1828.5,-,13.2,21.4
1800.0,-,12.13,23.29
1842.5,18.19,11.97,23.6
1880.25,18.75,13.76,20.52
1892.75,10.72,14.26,19.81
1915.5,9.04,13.82,20.44
1937.25,9.04,14.02,20.15
1964.25,9.04,12.83,22.02
1976.25,10.4,12.96,21.8
1946.75,18.81,12.58,22.45
1956.5,18.81,23.13,12.21
1934.0,18.81,20.77,13.6
1938.25,9.14,16.1,17.54
1944.0,9.14,16.93,16.69
1938.0,9.14,16.83,16.79
1941.25,9.14,16.53,17.09
1944.75,8.69,16.65,16.97
1951.75,8.69,16.52,17.1
1935.75,8.69,18.24,15.49
1940.0,8.69,19.14,14.76
1956.25,-,15.21,18.58
1978.5,8.84,13.79,20.48
1988.5,8.84,13.61,20.76
2005.75,9.53,14.08,20.07
1964.75,9.53,14.29,19.77
1972.25,9.53,23.21,12.17
1970.0,9.53,20.05,14.09
1966.5,-,17.75,15.91
1968.75,-,16.78,16.84
1973.75,-,16.76,16.85
1967.25,-,16.84,16.77
1966.75,-,17.85,15.83
1960.75,-,18.13,15.58
1953.25,-,19.49,14.49
1917.75,-,18.68,15.12
1908.75,-,20.33,13.9
1855.75,-,13.09,21.58
1828.25,-,12.7,22.24
1801.5,-,19.6,14.42
1789.25,-,20.91,13.51
1787.75,-,21.16,13.35
1784.25,-,20.52,13.77
1776.0,-,18.7,15.1
1775.5,-,19.43,14.54
1774.0,-,20.79,13.59
1780.5,-,19.38,14.57
1787.0,-,17.92,15.76
1798.75,8.94,16.78,16.84
1806.75,8.94,12.95,21.81
1838.25,9.77,12.15,23.24
1849.75,8.25,12.43,22.73
1863.5,8.25,11.46,24.66
1874.0,9.36,15.03,18.79
1893.0,8.97,15.48,18.25
1895.0,8.97,16.12,17.52
1903.75,8.97,16.21,17.43
1908.0,-,15.48,18.25
1892.5,-,17.72,15.94
1875.5,-,22.96,12.3
1872.75,-,17.24,16.38
1884.75,-,14.74,19.17
1889.25,-,17.39,16.25
1896.5,9.47,16.53,17.09
1899.0,9.47,18.41,15.34
1916.75,8.6,11.08,25.49
1929.5,8.6,11.69,24.16
1943.25,9.72,13.66,20.67
1942.5,9.72,17.9,15.78
1946.5,9.72,19.79,14.27
1946.75,-,18.84,14.99
1947.75,-,17.21,16.41
1948.0,-,17.96,15.72
1945.25,-,18.13,15.58
1945.5,-,17.2,16.43
1944.5,-,17.33,16.3
1934.5,-,17.17,16.46
1924.25,-,19.03,14.85
1917.25,-,17.16,16.46
1919.5,-,17.24,16.39
1935.0,-,11.21,25.2
1951.5,9.22,8.5,33.22
1964.5,9.31,12.46,22.67
1968.0,9.31,15.61,18.1
1968.5,9.31,16.42,17.2
1974.5,-,16.11,17.53
1977.0,-,15.66,18.04
1992.0,8.92,15.23,18.55
1974.75,8.92,15.79,17.89
1981.5,8.92,17.37,16.26
1996.25,10.51,17.61,16.04
1983.25,10.51,20.31,13.91
1984.25,10.51,21.17,13.34
1982.5,-,21.08,13.4
1981.5,-,20.5,13.78
1979.75,-,21.03,13.43
1974.5,-,20.81,13.57
1964.75,-,21.84,12.93
1979.5,-,16.44,17.19
1977.0,-,15.84,17.84
1980.25,-,19.58,14.42
1984.75,-,16.6,17.01
1989.25,-,14.77,19.12
1986.75,9.45,17.08,16.54
1983.0,9.45,19.54,14.46
1986.0,9.45,19.26,14.67
1977.75,-,18.98,14.89
1959.0,-,21.13,13.37
1950.75,-,22.0,12.84
1934.0,-,22.39,12.62
1919.75,-,22.25,12.7
1898.0,-,22.52,12.55
1874.0,-,21.84,12.94
1865.0,-,23.87,11.83
1850.5,-,22.74,12.42
1843.0,-,21.33,13.24
1831.75,-,20.9,13.52
1836.5,-,20.07,14.08
1853.75,9.24,11.72,24.11
1859.25,9.24,13.18,21.43
1840.0,7.97,13.62,20.74
1830.0,7.97,21.91,12.89
1822.75,7.97,19.42,14.55
1831.25,-,11.41,24.76
1841.25,8.69,8.84,31.94
1858.25,8.69,8.05,35.08
1884.75,8.85,8.02,35.22
1899.75,8.95,7.95,35.54
1905.0,8.95,10.92,25.86
1906.0,8.95,13.42,21.05
1908.5,-,14.18,19.92
1918.25,-,10.32,27.36
1932.25,9.07,8.92,31.66
1936.25,10.35,12.65,22.33
1949.75,10.35,15.52,18.2
1952.25,10.35,16.62,17
1976.5,9.81,16.46,17.16
1990.0,9.81,12.41,22.77
2010.0,9.43,14.04,20.11
1996.75,10.13,17.53,16.11
2001.5,10.13,22.57,12.52
2004.5,10.13,20.66,13.67
1958.0,-,18.64,15.16
1960.0,-,14.4,19.61
1939.0,-,13.99,20.19
1929.25,-,20.84,13.56
1925.25,-,20.55,13.75
1911.75,-,20.68,13.66
1899.75,-,20.15,14.02
1894.25,-,19.79,14.27
1894.0,-,17.64,16.02
1891.25,-,18.21,15.51
1891.0,-,18.74,15.07
1879.25,-,19.28,14.65
1853.75,-,22.71,12.44
1842.75,-,23.2,12.17
1826.25,-,22.92,12.33
1811.75,-,22.21,12.72
1803.25,-,20.93,13.5
1783.75,-,20.91,13.51
1774.5,-,21.79,12.96
1719.75,-,22.96,12.3
1663.25,-,14.75,19.16
1681.25,-,16.44,17.18
1697.75,8.02,16.48,17.14
1700.75,8.02,17.27,16.35
1708.75,8.02,17.36,16.27
1714.75,8.15,17.31,16.32
1722.5,8.15,17.29,16.33
1722.75,8.15,17.54,16.1
1749.0,7.8,9.43,29.96
1757.0,7.8,13.49,20.95
1760.5,7.8,15.97,17.68
1768.5,8.85,18.32,15.42
1785.25,8.85,13.79,20.49
1793.75,8.98,13.44,21.02
1806.25,8.98,16.15,17.49
1809.25,8.98,17.67,15.99
1815.75,8.98,17.93,15.75
1823.75,9.11,17.7,15.96
1806.75,9.11,20.76,13.61
1809.0,9.11,19.44,14.53
1810.25,-,17.71,15.95
1808.5,-,18.44,15.32
1806.75,-,18.83,15
1802.0,-,19.6,14.42
1798.75,-,19.79,14.27
1793.25,-,20.19,13.99
1789.5,-,19.09,14.8
1787.5,-,18.81,15.02
1793.5,-,18.22,15.5
1786.0,-,18.51,15.26
1788.0,-,18.26,15.47
1788.0,-,18.34,15.41
1786.5,-,18.37,15.38
1788.0,-,18.57,15.22
1797.5,8.49,13.13,21.52
1801.0,8.49,16.63,16.98
1801.25,8.49,17.57,16.08
1811.5,-,11.07,25.51
1809.75,-,10.27,27.52
1820.0,8.15,11.31,24.97
1819.75,8.15,11.99,23.56
1818.75,8.15,10.99,25.7
1825.75,-,9.17,30.8
1817.25,-,13.47,20.98
1829.5,-,12.18,23.2
1830.25,-,11.23,25.16
1836.75,-,10.96,25.78
1846.25,-,8.95,31.56
1856.5,-,9.52,29.66
1865.0,17.75,8.96,31.53
1880.5,17.75,11.88,23.78
1873.75,17.75,16.87,16.75
1870.25,-,20.55,13.75
1853.25,-,22.16,12.75
1849.5,-,20.36,13.87
1853.25,-,19.6,14.41
1860.25,-,18.68,15.12
1871.75,-,19.11,14.78
1855.0,-,20.43,13.83
1851.0,-,19.62,14.4
1825.5,-,13.74,20.56
1850.75,8.75,13.03,21.68
1885.5,18.92,12.31,22.95
1920.75,9.07,15.74,17.94
1937.75,9.07,15.77,17.92
1961.25,8.75,18.5,15.27
2003.0,9.75,9.59,29.46
2009.5,20.39,10.68,26.45
1982.25,20.39,15.83,17.84
1966.75,20.39,18.9,14.94
1945.5,-,13.74,20.56
1930.0,-,13.49,20.94
1935.25,-,13.29,21.25
1936.75,-,16.4,17.22
1932.0,-,19.11,14.78
1934.0,-,18.62,15.17
1952.0,8.72,10.88,25.96
1952.0,8.72,13.37,21.13
1951.5,8.72,17.7,15.96
1964.0,-,10.86,26.02
1967.5,8.87,11.79,23.95
1977.25,8.87,13.45,21
1981.0,8.87,16.65,16.97
1987.5,-,17.1,16.52
2001.25,9.44,14.49,19.5
2016.0,9.44,12.78,22.1
2012.0,9.54,14.04,20.12
2015.25,9.54,16.92,16.69
2018.5,9.54,10.34,27.32
2032.5,-,11.9,23.74
2036.0,-,16.22,17.41
2033.0,-,17.66,16
2033.25,-,18.47,15.3
2031.25,-,17.62,16.03
2029.75,-,16.25,17.38
2042.75,10.26,11.14,25.35
2048.25,10.26,13.87,20.36
2047.5,10.26,15.72,17.97
2050.75,-,15.3,18.46
2051.75,-,16.68,16.94
2052.25,-,17.09,16.53
2063.75,-,12.86,21.96
2061.25,-,14.05,20.11
2061.5,9.81,17.52,16.12
2054.0,9.81,18.24,15.49
2058.25,9.81,11.43,24.72
2057.5,-,12.63,22.37
2056.75,-,10.58,26.7
2060.75,9.76,12.0,23.54
2062.25,9.76,14.43,19.58
2059.0,9.76,17.41,16.22
2070.0,9.76,11.87,23.8
2072.5,9.28,11.97,23.6
2079.25,9.28,14.29,19.77
2090.75,9.28,12.32,22.93
2043.0,-,17.87,15.81
1983.5,-,12.9,21.9
1981.25,-,14.8,19.08
1973.0,-,16.37,17.26
1970.25,-,18.04,15.65
1966.5,-,18.39,15.36
1957.75,-,18.73,15.08
1957.5,-,18.61,15.18
1953.0,-,19.08,14.8
1939.0,-,18.08,15.62
1829.5,-,14.57,19.38
1823.25,-,20.76,13.61
1821.75,-,18.39,15.36
1843.75,-,10.08,28.02
1857.0,9.22,13.73,20.57
1861.5,9.22,16.39,17.24
1857.5,9.22,18.49,15.28
1856.75,-,18.85,14.98
1844.75,-,18.49,15.28
1845.25,-,11.32,24.96
1850.25,-,11.82,23.89
1867.0,8.85,11.41,24.75
1873.5,8.85,14.28,19.78
1877.25,8.85,10.22,27.63
1888.0,-,12.33,22.9
1880.25,-,16.33,17.3
1875.0,-,17.88,15.8
1876.25,-,18.06,15.64
1875.0,-,17.72,15.94
1885.5,-,17.67,15.99
1886.0,-,17.01,16.61
1904.25,10.11,17.49,16.15
1924.25,9.62,11.88,23.78
1956.25,8.67,9.63,29.32
1984.0,8.67,14.35,19.69
1992.0,20.02,16.23,17.4
2011.0,20.02,17.36,16.27
2026.0,9.03,17.19,16.44
2037.25,10.25,16.67,16.95
2005.0,10.25,19.12,14.78
1985.5,10.25,17.94,15.74
1974.0,10.25,17.83,15.84
1968.5,-,18.7,15.1
1969.0,-,13.0,21.72
1973.25,-,14.03,20.14
1972.5,-,16.26,17.38
1966.75,-,18.83,15
1944.5,-,22.57,12.51
1933.5,-,22.7,12.44
1936.0,-,16.55,17.07
1938.75,-,15.41,18.33
1950.25,8.71,9.38,30.12
1951.25,8.71,15.1,18.71
1951.0,8.71,16.58,17.04
1952.5,-,18.03,15.66
1949.0,-,17.64,16.01
1949.0,-,17.18,16.44
1947.5,-,16.94,16.68
1948.75,-,16.88,16.73
1948.5,-,16.59,17.03
1947.5,-,16.71,16.91
1951.25,-,16.94,16.68
1948.75,-,16.84,16.78
1950.5,-,16.5,17.12
1949.0,-,16.91,16.7
1945.5,-,16.84,16.78
1958.25,-,10.91,25.89
1952.5,-,14.25,19.82
1945.5,-,16.37,17.26
1947.25,-,9.95,28.39
1950.75,-,13.81,20.45
1951.0,-,12.19,23.17
1952.75,-,11.29,25.02
1954.5,-,15.72,17.96
1953.5,-,16.82,16.79
1941.5,-,17.29,16.34
1935.75,-,16.97,16.65
1946.5,-,16.0,17.65
1933.25,-,17.18,16.45
1937.75,-,17.7,15.96
1941.25,8.96,17.48,16.16
1957.0,8.96,16.49,17.13
1967.5,9.85,11.24,25.14
1981.75,9.85,11.58,24.4
1982.5,8.94,14.77,19.13
1949.0,8.94,23.39,12.08
1945.75,8.94,23.74,11.9
1932.0,-,22.25,12.7
1923.75,-,21.42,13.19
1914.75,-,21.45,13.17
1911.25,-,21.14,13.36
1901.0,-,21.59,13.08
1883.75,-,21.29,13.27
1890.75,-,21.03,13.43
1874.75,-,21.11,13.38
1871.25,-,21.16,13.35
1853.0,-,20.66,13.67
1839.25,-,20.73,13.63
1829.25,-,20.62,13.7
1822.5,-,20.52,13.77
1817.5,-,21.15,13.36
1803.5,-,20.93,13.5
1805.0,-,20.08,14.07
1809.75,-,16.88,16.73
1821.25,-,13.32,21.21
1834.75,8.17,12.14,23.26
1848.0,9.24,9.52,29.66
1866.75,9.41,10.91,25.9
1875.75,9.41,15.14,18.65
1867.0,9.41,17.4,16.23
1867.75,-,19.27,14.66
1866.25,-,19.76,14.3
1876.0,-,11.98,23.57
1883.75,-,15.7,18
1894.0,-,11.01,25.65
1906.5,9.57,12.58,22.46
1919.0,9.07,11.7,24.14
1927.0,9.07,13.62,20.75
1933.0,9.07,17.08,16.54
1947.0,-,11.67,24.21
1954.75,9.16,13.34,21.18
1951.5,9.16,17.14,16.48
1951.75,9.16,18.68,15.12
1949.0,-,17.12,16.5
1929.0,-,18.36,15.39
1923.5,-,17.69,15.97
1915.0,-,17.16,16.46
1898.0,-,19.79,14.27
1875.5,-,20.76,13.61
1862.0,-,22.14,12.76
1830.5,-,22.49,12.56
1805.0,-,23.04,12.26
1797.0,-,21.31,13.26
1776.0,-,20.42,13.83
1751.75,-,19.88,14.21
1739.5,-,20.42,13.84
1722.25,-,12.73,22.19
1726.25,-,14.08,20.06
1701.5,-,16.87,16.75
1686.0,-,18.12,15.59
1682.25,-,16.84,16.77
1671.75,-,17.48,16.16
1674.5,-,11.65,24.25
1691.0,-,11.5,24.56
1700.5,-,12.05,23.43
1689.75,7.6,15.62,18.09
1690.25,7.6,17.67,15.99
1698.75,7.6,17.97,15.72
1698.75,-,17.48,16.16
1709.5,-,17.54,16.1
1706.75,-,20.92,13.5
1707.0,-,20.61,13.7
1716.5,-,20.29,13.92
1714.5,9.15,20.87,13.54
1731.75,9.15,20.66,13.67
1753.75,7.81,20.26,13.95
1766.75,9.42,20.37,13.87
1774.25,9.42,20.4,13.85
1804.5,9,20.21,13.97
1828.75,8.14,20.09,14.06
1828.75,8.14,19.46,14.52
1825.25,8.14,23.27,12.14
1859.5,8.27,17.01,16.6
1865.25,8.27,16.65,16.96
1879.75,9.97,17.16,16.46
1877.25,9.97,18.28,15.45
1874.0,9.97,20.04,14.1
1870.75,-,20.3,13.92
1866.5,-,19.85,14.23
1860.5,-,19.72,14.33
1865.25,-,18.78,15.04
1855.0,-,19.39,14.57
1863.75,-,13.11,21.54
1879.25,8.35,11.47,24.62
1893.0,9.47,14.55,19.41
1893.75,9.47,19.75,14.31
1905.0,9.47,17.74,15.93
1915.0,8.59,15.43,18.3
1924.25,8.59,9.82,28.76
1944.25,9.7,11.96,23.61
1944.0,9.7,16.93,16.69
1942.5,9.7,18.47,15.3
1942.0,-,18.82,15.01
1941.0,-,18.39,15.36
1935.0,-,18.02,15.68
1906.25,-,17.38,16.26
1885.0,-,23.97,11.78
1873.0,-,20.94,13.49
1880.75,-,16.67,16.95
1878.75,-,16.19,17.45
1880.5,-,16.82,16.79
1880.5,-,17.68,15.97
1868.75,-,18.68,15.12
1857.0,-,19.47,14.51
1849.0,-,19.01,14.86
1847.0,-,18.78,15.04
1844.75,-,19.19,14.72
1831.0,-,20.68,13.66
1837.25,-,19.09,14.8
1838.5,-,18.52,15.25
1862.5,9.27,9.02,31.31
1865.25,9.99,9.81,28.79
1883.75,9.99,11.2,25.22
1892.75,9.5,15.68,18.01
1893.75,9.5,18.24,15.49
1890.25,9.5,18.5,15.27
1890.75,9.5,18.18,15.54
1891.25,-,17.94,15.75
1889.75,-,18.04,15.66
1907.75,-,12.2,23.15
1910.5,-,15.63,18.08
1919.5,-,9.97,28.34
1933.5,9.09,10.32,27.36
1943.0,9.16,10.06,28.07
1943.5,9.16,14.84,19.03
1952.5,9.16,11.03,25.62
1950.5,-,11.67,24.21
1926.75,-,14.6,19.34
1914.0,-,13.63,20.72
1914.25,-,13.85,20.39
1911.5,-,15.85,17.83
1904.5,-,18.44,15.32
1902.25,-,17.98,15.71
1903.25,-,16.18,17.46
1902.75,-,14.35,19.68
1913.0,9.61,12.67,22.3
1930.5,9.61,13.01,21.71
1930.0,9.61,10.35,27.31
1943.0,9.61,9.63,29.32
1946.5,9.74,14.16,19.96
1950.75,9.74,14.52,19.46
1961.25,9.74,11.7,24.14
1948.25,-,15.43,18.3
1942.75,-,9.12,30.98
1941.0,-,11.97,23.6
1936.5,-,10.41,27.12
1923.75,-,10.18,27.75
1914.0,-,9.56,29.56
1872.0,-,16.85,16.77
1871.75,-,10.4,27.17
1873.5,-,10.34,27.32
1883.0,-,13.46,20.98
1880.5,-,10.07,28.06
1889.25,10.11,12.43,22.72
1894.25,10.11,10.07,28.05
1905.5,10.11,14.79,19.1
1908.0,10.11,16.08,17.57
1907.5,-,19.54,14.46
1916.25,-,18.8,15.03
1920.0,8.63,18.25,15.48
1910.75,8.63,18.8,15.02
1881.75,8.63,22.85,12.36
1878.75,8.63,23.62,11.96
1877.0,-,24.09,11.72
1882.75,-,22.57,12.51
1880.75,-,21.65,13.05
1889.75,8.49,20.62,13.7
